kernel;c_value;gamma;iteration;class;precision;recall;f1;accuracy
rbf;0.10;0.00;3;0;0.9841;0.9863;0.9852;0.9875
rbf;0.10;0.00;3;1;0.9997;1.0000;0.9999;0.9999
rbf;0.10;0.00;3;2;0.9815;0.9783;0.9799;0.9876
poly;0.80;0.00;4;0;0.9819;0.9880;0.9850;0.9872
poly;0.80;0.00;4;1;0.9999;1.0000;0.9999;1.0000
poly;0.80;0.00;4;2;0.9836;0.9751;0.9793;0.9873
poly;1.00;0.00;4;0;0.9821;0.9878;0.9850;0.9872
poly;1.00;0.00;4;1;0.9999;1.0000;0.9999;1.0000
poly;1.00;0.00;4;2;0.9834;0.9754;0.9793;0.9873
rbf;0.10;0.00;4;0;0.9837;0.9841;0.9839;0.9864
rbf;0.10;0.00;4;1;0.9996;1.0000;0.9998;0.9999
rbf;0.10;0.00;4;2;0.9786;0.9777;0.9781;0.9865
poly;0.80;0.00;5;0;0.9813;0.9888;0.9851;0.9873
poly;0.80;0.00;5;1;0.9996;1.0000;0.9998;0.9999
poly;0.80;0.00;5;2;0.9849;0.9743;0.9796;0.9874
poly;1.00;0.00;5;0;0.9812;0.9888;0.9850;0.9873
poly;1.00;0.00;5;1;0.9996;1.0000;0.9998;0.9999
poly;1.00;0.00;5;2;0.9849;0.9741;0.9795;0.9874
rbf;0.10;0.00;5;0;0.9836;0.9861;0.9848;0.9871
rbf;0.10;0.00;5;1;0.9999;1.0000;0.9999;1.0000
rbf;0.10;0.00;5;2;0.9810;0.9775;0.9793;0.9872
rbf;0.50;0.00;1;0;0.9850;0.9844;0.9847;0.9870
rbf;0.50;0.00;1;1;0.9997;1.0000;0.9999;0.9999
rbf;0.50;0.00;1;2;0.9789;0.9795;0.9792;0.9871
rbf;0.30;0.00;1;0;0.9845;0.9839;0.9842;0.9866
rbf;0.30;0.00;1;1;0.9997;1.0000;0.9999;0.9999
rbf;0.30;0.00;1;2;0.9783;0.9788;0.9785;0.9867
rbf;0.20;0.00;1;0;0.9842;0.9839;0.9841;0.9865
rbf;0.20;0.00;1;1;0.9997;1.0000;0.9999;0.9999
rbf;0.20;0.00;1;2;0.9783;0.9784;0.9783;0.9866
rbf;0.50;0.00;2;0;0.9848;0.9869;0.9859;0.9880
rbf;0.50;0.00;2;1;1.0000;1.0000;1.0000;1.0000
rbf;0.50;0.00;2;2;0.9820;0.9792;0.9806;0.9880
rbf;0.30;0.00;2;0;0.9848;0.9867;0.9858;0.9879
rbf;0.30;0.00;2;1;0.9999;1.0000;0.9999;1.0000
rbf;0.30;0.00;2;2;0.9819;0.9792;0.9805;0.9880
rbf;0.20;0.00;2;0;0.9849;0.9864;0.9857;0.9879
rbf;0.20;0.00;2;1;0.9999;1.0000;0.9999;1.0000
rbf;0.20;0.00;2;2;0.9815;0.9794;0.9804;0.9879
rbf;0.50;0.00;3;0;0.9849;0.9876;0.9863;0.9883
rbf;0.50;0.00;3;1;0.9999;1.0000;0.9999;1.0000
rbf;0.50;0.00;3;2;0.9831;0.9794;0.9812;0.9884
rbf;0.30;0.00;3;0;0.9848;0.9871;0.9859;0.9881
rbf;0.30;0.00;3;1;0.9999;1.0000;0.9999;1.0000
rbf;0.30;0.00;3;2;0.9825;0.9791;0.9808;0.9881
rbf;0.20;0.00;3;0;0.9848;0.9871;0.9859;0.9881
rbf;0.20;0.00;3;1;0.9999;1.0000;0.9999;1.0000
rbf;0.20;0.00;3;2;0.9825;0.9791;0.9808;0.9881
rbf;0.50;0.00;4;0;0.9849;0.9853;0.9851;0.9874
rbf;0.50;0.00;4;1;1.0000;1.0000;1.0000;1.0000
rbf;0.50;0.00;4;2;0.9798;0.9794;0.9796;0.9874
rbf;0.30;0.00;4;0;0.9844;0.9851;0.9847;0.9871
rbf;0.30;0.00;4;1;1.0000;1.0000;1.0000;1.0000
rbf;0.30;0.00;4;2;0.9796;0.9786;0.9791;0.9871
rbf;0.20;0.00;4;0;0.9839;0.9851;0.9845;0.9869
rbf;0.20;0.00;4;1;0.9997;1.0000;0.9999;0.9999
rbf;0.20;0.00;4;2;0.9798;0.9780;0.9789;0.9870
rbf;0.50;0.00;5;0;0.9846;0.9876;0.9861;0.9882
rbf;0.50;0.00;5;1;1.0000;1.0000;1.0000;1.0000
rbf;0.50;0.00;5;2;0.9829;0.9789;0.9809;0.9882
rbf;0.30;0.00;5;0;0.9845;0.9872;0.9859;0.9880
rbf;0.30;0.00;5;1;1.0000;1.0000;1.0000;1.0000
rbf;0.30;0.00;5;2;0.9824;0.9788;0.9806;0.9880
rbf;0.20;0.00;5;0;0.9845;0.9869;0.9857;0.9879
rbf;0.20;0.00;5;1;0.9999;1.0000;0.9999;1.0000
rbf;0.20;0.00;5;2;0.9822;0.9788;0.9805;0.9879
rbf;0.70;0.00;1;0;0.9852;0.9847;0.9849;0.9873
rbf;0.70;0.00;1;1;0.9999;1.0000;0.9999;1.0000
rbf;0.70;0.00;1;2;0.9793;0.9797;0.9795;0.9873
rbf;0.70;0.00;2;0;0.9850;0.9869;0.9860;0.9881
rbf;0.70;0.00;2;1;1.0000;1.0000;1.0000;1.0000
rbf;0.70;0.00;2;2;0.9821;0.9795;0.9808;0.9881
rbf;0.60;0.00;1;0;0.9850;0.9846;0.9848;0.9871
rbf;0.60;0.00;1;1;0.9997;1.0000;0.9999;0.9999
rbf;0.60;0.00;1;2;0.9791;0.9795;0.9793;0.9872
rbf;0.70;0.00;3;0;0.9849;0.9877;0.9863;0.9884
rbf;0.70;0.00;3;1;0.9999;1.0000;0.9999;1.0000
rbf;0.70;0.00;3;2;0.9833;0.9792;0.9813;0.9884
rbf;0.40;0.00;1;0;0.9851;0.9841;0.9846;0.9870
rbf;0.40;0.00;1;1;0.9997;1.0000;0.9999;0.9999
rbf;0.40;0.00;1;2;0.9785;0.9796;0.9791;0.9870
rbf;0.70;0.00;4;0;0.9849;0.9857;0.9853;0.9876
rbf;0.70;0.00;4;1;1.0000;1.0000;1.0000;1.0000
rbf;0.70;0.00;4;2;0.9804;0.9794;0.9799;0.9876
rbf;0.70;0.00;5;0;0.9846;0.9877;0.9862;0.9883
rbf;0.70;0.00;5;1;1.0000;1.0000;1.0000;1.0000
rbf;0.70;0.00;5;2;0.9832;0.9789;0.9810;0.9883
rbf;0.60;0.00;2;0;0.9849;0.9868;0.9859;0.9880
rbf;0.60;0.00;2;1;1.0000;1.0000;1.0000;1.0000
rbf;0.60;0.00;2;2;0.9819;0.9794;0.9806;0.9880
rbf;0.80;0.00;1;0;0.9852;0.9847;0.9849;0.9873
rbf;0.80;0.00;1;1;0.9999;1.0000;0.9999;1.0000
rbf;0.80;0.00;1;2;0.9793;0.9797;0.9795;0.9873
rbf;0.40;0.00;2;0;0.9851;0.9868;0.9859;0.9881
rbf;0.40;0.00;2;1;1.0000;1.0000;1.0000;1.0000
rbf;0.40;0.00;2;2;0.9819;0.9796;0.9807;0.9881
rbf;0.80;0.00;2;0;0.9852;0.9869;0.9861;0.9882
rbf;0.80;0.00;2;1;1.0000;1.0000;1.0000;1.0000
rbf;0.80;0.00;2;2;0.9821;0.9797;0.9809;0.9882
rbf;0.80;0.00;3;0;0.9850;0.9878;0.9864;0.9885
rbf;0.80;0.00;3;1;0.9999;1.0000;0.9999;1.0000
rbf;0.80;0.00;3;2;0.9834;0.9795;0.9814;0.9885
rbf;0.80;0.00;4;0;0.9849;0.9858;0.9854;0.9876
rbf;0.80;0.00;4;1;1.0000;1.0000;1.0000;1.0000
rbf;0.80;0.00;4;2;0.9806;0.9794;0.9800;0.9876
rbf;0.60;0.00;3;0;0.9847;0.9876;0.9861;0.9882
rbf;0.60;0.00;3;1;0.9999;1.0000;0.9999;1.0000
rbf;0.60;0.00;3;2;0.9831;0.9790;0.9810;0.9883
rbf;0.80;0.00;5;0;0.9844;0.9875;0.9860;0.9881
rbf;0.80;0.00;5;1;0.9999;1.0000;0.9999;1.0000
rbf;0.80;0.00;5;2;0.9829;0.9786;0.9808;0.9881
rbf;0.60;0.00;4;0;0.9849;0.9855;0.9852;0.9875
rbf;0.60;0.00;4;1;1.0000;1.0000;1.0000;1.0000
rbf;0.60;0.00;4;2;0.9802;0.9794;0.9798;0.9875
rbf;0.40;0.00;3;0;0.9851;0.9874;0.9863;0.9883
rbf;0.40;0.00;3;1;0.9999;1.0000;0.9999;1.0000
rbf;0.40;0.00;3;2;0.9828;0.9796;0.9812;0.9884
rbf;0.90;0.00;1;0;0.9853;0.9848;0.9850;0.9873
rbf;0.90;0.00;1;1;0.9999;1.0000;0.9999;1.0000
rbf;0.90;0.00;1;2;0.9794;0.9798;0.9796;0.9874
rbf;0.90;0.00;2;0;0.9854;0.9869;0.9862;0.9883
rbf;0.90;0.00;2;1;1.0000;1.0000;1.0000;1.0000
rbf;0.90;0.00;2;2;0.9821;0.9800;0.9810;0.9883
rbf;0.90;0.00;3;0;0.9850;0.9877;0.9864;0.9885
rbf;0.90;0.00;3;1;0.9999;1.0000;0.9999;1.0000
rbf;0.90;0.00;3;2;0.9833;0.9795;0.9814;0.9885
rbf;0.60;0.00;5;0;0.9847;0.9876;0.9861;0.9882
rbf;0.60;0.00;5;1;1.0000;1.0000;1.0000;1.0000
rbf;0.60;0.00;5;2;0.9829;0.9790;0.9810;0.9882
rbf;0.90;0.00;4;0;0.9848;0.9857;0.9853;0.9875
rbf;0.90;0.00;4;1;1.0000;1.0000;1.0000;1.0000
rbf;0.90;0.00;4;2;0.9804;0.9792;0.9798;0.9875
rbf;0.40;0.00;4;0;0.9847;0.9854;0.9850;0.9873
rbf;0.40;0.00;4;1;1.0000;1.0000;1.0000;1.0000
rbf;0.40;0.00;4;2;0.9799;0.9790;0.9795;0.9873
rbf;0.90;0.00;5;0;0.9844;0.9876;0.9860;0.9881
rbf;0.90;0.00;5;1;0.9999;1.0000;0.9999;1.0000
rbf;0.90;0.00;5;2;0.9830;0.9786;0.9808;0.9882
rbf;1.00;0.00;1;0;0.9853;0.9848;0.9850;0.9873
rbf;1.00;0.00;1;1;0.9999;1.0000;0.9999;1.0000
rbf;1.00;0.00;1;2;0.9794;0.9798;0.9796;0.9874
rbf;1.00;0.00;2;0;0.9856;0.9869;0.9862;0.9883
rbf;1.00;0.00;2;1;1.0000;1.0000;1.0000;1.0000
rbf;1.00;0.00;2;2;0.9820;0.9803;0.9812;0.9883
rbf;1.00;0.00;3;0;0.9850;0.9877;0.9864;0.9885
rbf;1.00;0.00;3;1;0.9999;1.0000;0.9999;1.0000
rbf;1.00;0.00;3;2;0.9833;0.9795;0.9814;0.9885
rbf;0.40;0.00;5;0;0.9845;0.9876;0.9860;0.9882
rbf;0.40;0.00;5;1;1.0000;1.0000;1.0000;1.0000
rbf;0.40;0.00;5;2;0.9829;0.9788;0.9808;0.9882
