kernel;c_value;gamma;coef0;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;accuracy_mean;accuracy_std
sigmoid;1.0;1;0;0.27013333333333334;0.40673259438276316;0.0557;0.06078494879491139;0.057133333333333335;0.0479064017990637;0.37096666666666667;0.19072001293344476
sigmoid;1.0;scale;0;0.13473333333333334;0.23336497880644672;0.1666;0.288559664540975;0.149;0.25807557032776274;0.4744333333333333;0.2167048068994625
