kernel;c_value;gamma;degree;class;precision;recall;f1;accuracy
rbf;100.00;scale;0;0;0.9858;0.9876;0.9867;0.9887
rbf;100.00;scale;0;1;0.9991;1.0000;0.9995;0.9997
rbf;100.00;scale;0;2;0.9838;0.9806;0.9822;0.9890
