kernel;c_value;gamma;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;accuracy_mean;accuracy_std;data_count
linear;1.1;0.0;0.9855666666666667;0.012257617851862527;0.98549;0.01245071248480625;0.98549;0.010779941462319484;0.9903133333333333;0.007197783822401364;30
poly;1.1;0.0;0.9886233333333333;0.009329954848297201;0.9886066666666667;0.009395300855263744;0.98861;0.008690873135771169;0.9924133333333334;0.005793916746413239;30
rbf;1.1;0.0;0.9916400000000001;0.0075744397767118195;0.9916033333333334;0.007672992642506201;0.9916;0.006205170258021471;0.99442;0.004124811385447489;30
