kernel;c_value;gamma;iteration;class;precision;recall;f1;accuracy
linear;1.10;0.00;10;2;0.9851;0.9667;0.9758;0.9840
rbf;1.30;0.00;1;0;0.9917;0.9912;0.9915;0.9943
rbf;1.30;0.00;1;1;1.0000;1.0000;1.0000;1.0000
rbf;1.30;0.00;1;2;0.9913;0.9917;0.9915;0.9943
rbf;1.20;0.00;1;0;0.9917;0.9912;0.9915;0.9943
rbf;1.20;0.00;1;1;1.0000;1.0000;1.0000;1.0000
rbf;1.20;0.00;1;2;0.9913;0.9917;0.9915;0.9943
rbf;1.30;0.00;2;0;0.9884;0.9954;0.9919;0.9946
rbf;1.30;0.00;2;1;1.0000;1.0000;1.0000;1.0000
rbf;1.30;0.00;2;2;0.9954;0.9883;0.9918;0.9946
rbf;1.20;0.00;2;0;0.9884;0.9954;0.9919;0.9946
rbf;1.20;0.00;2;1;1.0000;1.0000;1.0000;1.0000
rbf;1.20;0.00;2;2;0.9954;0.9883;0.9918;0.9946
poly;1.30;0.00;1;0;0.9846;0.9825;0.9835;0.9890
poly;1.30;0.00;1;1;1.0000;1.0000;1.0000;1.0000
poly;1.30;0.00;1;2;0.9825;0.9846;0.9836;0.9890
poly;1.20;0.00;1;0;0.9841;0.9825;0.9833;0.9889
poly;1.20;0.00;1;1;1.0000;1.0000;1.0000;1.0000
poly;1.20;0.00;1;2;0.9825;0.9842;0.9833;0.9889
rbf;1.30;0.00;3;0;0.9917;0.9938;0.9927;0.9951
rbf;1.30;0.00;3;1;1.0000;1.0000;1.0000;1.0000
rbf;1.30;0.00;3;2;0.9937;0.9917;0.9927;0.9951
rbf;1.20;0.00;3;0;0.9917;0.9933;0.9925;0.9950
rbf;1.20;0.00;3;1;1.0000;1.0000;1.0000;1.0000
rbf;1.20;0.00;3;2;0.9933;0.9917;0.9925;0.9950
poly;1.30;0.00;2;0;0.9793;0.9850;0.9821;0.9881
poly;1.30;0.00;2;1;1.0000;1.0000;1.0000;1.0000
poly;1.30;0.00;2;2;0.9849;0.9792;0.9820;0.9881
rbf;1.30;0.00;4;0;0.9913;0.9929;0.9921;0.9947
rbf;1.30;0.00;4;1;1.0000;1.0000;1.0000;1.0000
rbf;1.30;0.00;4;2;0.9929;0.9912;0.9921;0.9947
poly;1.20;0.00;2;0;0.9793;0.9850;0.9821;0.9881
poly;1.20;0.00;2;1;1.0000;1.0000;1.0000;1.0000
poly;1.20;0.00;2;2;0.9849;0.9792;0.9820;0.9881
rbf;1.20;0.00;4;0;0.9909;0.9929;0.9919;0.9946
rbf;1.20;0.00;4;1;1.0000;1.0000;1.0000;1.0000
rbf;1.20;0.00;4;2;0.9929;0.9908;0.9919;0.9946
rbf;1.30;0.00;5;0;0.9831;0.9946;0.9888;0.9925
rbf;1.30;0.00;5;1;1.0000;1.0000;1.0000;1.0000
