kernel;c_value;gamma;degree;class;precision;recall;f1;accuracy
poly;0.10;scale;3;0;0.9767;0.9877;0.9822;0.9848
poly;0.10;scale;3;1;0.9997;1.0000;0.9999;0.9999
poly;0.10;scale;3;2;0.9832;0.9678;0.9754;0.9849
poly;0.10;scale;2;0;0.9769;0.9902;0.9835;0.9859
poly;0.10;scale;2;1;0.9992;1.0000;0.9996;0.9998
poly;0.10;scale;2;2;0.9870;0.9679;0.9774;0.9861
poly;0.10;scale;4;0;0.9732;0.9876;0.9803;0.9832
poly;0.10;scale;4;1;0.9999;1.0000;1.0000;1.0000
poly;0.10;scale;4;2;0.9827;0.9628;0.9727;0.9833
poly;0.10;scale;5;0;0.9663;0.9884;0.9772;0.9805
poly;0.10;scale;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;5;2;0.9836;0.9529;0.9680;0.9805
poly;0.10;scale;6;0;0.9523;0.9896;0.9706;0.9746
poly;0.10;scale;6;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;6;2;0.9849;0.9322;0.9578;0.9746
