kernel;c_value;gamma;degree;coef0;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;accuracy_mean;accuracy_std;data_count
poly;0.1;0.1;1;0;0.8969199999999999;0.07246224829917594;0.9167933333333332;0.10261532513411899;0.8992933333333333;0.03240338312730998;0.9315866666666667;0.027504567586043534;15
poly;0.1;0.1;1;1;0.8917866666666666;0.07361051814076831;0.9123333333333333;0.10939350768582896;0.8936333333333334;0.033100597031013285;0.92778;0.028312546436417306;15
poly;0.1;0.1;1;10;0.89188;0.07361765316242332;0.9124266666666667;0.1092482851559868;0.89374;0.033115874484258206;0.92784;0.028317228476166734;15
poly;0.1;0.1;1;100;0.89182;0.07370758053668176;0.9123533333333333;0.10935930208437211;0.89366;0.03314364407932754;0.9278;0.028326136340842533;15
poly;0.1;0.1;2;1;0.9860933333333333;0.010706571190940012;0.9844;0.015179920948410771;0.9852000000000001;0.011128342194594855;0.98944;0.007658496682023928;15
poly;0.1;0.1;2;10;0.9845866666666667;0.011447823665075662;0.9828533333333332;0.01635804156399914;0.98366;0.01210889873487383;0.9883666666666666;0.008372801772633208;15
poly;0.1;0.1;2;100;0.9876333333333334;0.008961398700351782;0.9862466666666667;0.013262668696472104;0.9869;0.009460292958314933;0.9906733333333334;0.006589327590523799;15
poly;0.1;0.1;3;1;0.9836533333333333;0.012466690858137975;0.9817800000000001;0.01736055463235139;0.9826466666666666;0.013140007972745294;0.9876400000000001;0.008996570775261307;15
poly;0.1;0.1;3;10;0.9887533333333334;0.008778941253010517;0.9873266666666666;0.012503226250319029;0.988;0.009062245070306027;0.9914266666666667;0.006246309386540265;15
poly;0.1;0.1;3;100;0.98824;0.007887313502436306;0.9877066666666666;0.010348323995885015;0.9879733333333333;0.008709884915318647;0.99142;0.006078557159627384;15
poly;0.1;0.1;4;1;0.9825;0.013081611958339514;0.9807333333333333;0.017959106988086112;0.9815666666666666;0.013944464680944034;0.9868466666666666;0.009562416510684402;15
poly;0.1;0.1;4;10;0.9887;0.008150723017885334;0.9881733333333333;0.009906236611828129;0.9884333333333333;0.008717442831691506;0.9917266666666666;0.0060292698760376654;15
poly;0.1;0.1;4;100;0.9883799999999999;0.008459077963939108;0.98768;0.010546238327344162;0.98802;0.009041823457056198;0.9914400000000001;0.006243373630154949;15
poly;0.1;0.1;5;1;0.98258;0.01294654945756369;0.9808800000000001;0.017682040929388534;0.9816800000000001;0.013845845173604567;0.9869333333333333;0.009506213506864605;15
poly;0.1;0.1;5;10;0.98892;0.008194527790805633;0.9886199999999999;0.009160333743140259;0.98878;0.00854075941755599;0.99198;0.005898329061207576;15
poly;0.1;0.1;5;100;0.9884000000000001;0.00841316994785132;0.9877666666666667;0.010364132288582491;0.9880733333333332;0.00902183594450286;0.9914933333333333;0.0062255770434401884;15
poly;0.1;0.1;6;1;0.9828066666666667;0.012555503441386446;0.9814333333333333;0.01650232306878842;0.98208;0.013526439717404267;0.9872;0.009315194960002566;15
poly;0.1;0.1;6;10;0.9889600000000001;0.008198675851275367;0.98872;0.009013339320933492;0.9888333333333333;0.008491732674167491;0.9920133333333333;0.005870491177632979;15
poly;0.1;0.1;6;100;0.9881933333333334;0.008679982444572985;0.98766;0.01022872705388393;0.9879333333333332;0.00914890053243454;0.9913466666666667;0.006322845953554538;15
poly;0.1;1;1;0;0.9836333333333334;0.011863308781199901;0.9816933333333334;0.017559143595560822;0.9825866666666666;0.01256633067632181;0.9876066666666666;0.008749650333149393;15
poly;0.1;1;1;1;0.9834533333333333;0.012116215030555834;0.98152;0.017759110338077193;0.98242;0.012793871300632283;0.9874866666666667;0.008882476059769674;15
poly;0.1;1;1;10;0.9834666666666667;0.012114021785085425;0.9815266666666667;0.017760890689806016;0.9824333333333333;0.012783564597150646;0.9875;0.008871785132011027;15
poly;0.1;1;1;100;0.9834666666666667;0.012114021785085425;0.9815266666666667;0.017760890689806016;0.9824333333333333;0.012783564597150646;0.9875;0.008871785132011027;15
poly;0.1;1;2;1;0.9864866666666666;0.00996614746218895;0.9853933333333333;0.012941652945137296;0.98592;0.01066437326535683;0.98994;0.00734708883066716;15
poly;0.1;1;2;10;0.9883466666666667;0.008490992426150926;0.9875266666666668;0.01095454678378322;0.9879266666666666;0.009104038873462906;0.99136;0.006285107113532083;15
poly;0.1;1;2;100;0.9884799999999999;0.007877925760358118;0.9877266666666666;0.010749183800687036;0.9880933333333334;0.008676607851546822;0.9915066666666666;0.00606352875414812;15
poly;0.1;1;3;1;0.9869066666666666;0.009410591803666636;0.9861666666666667;0.011711451457359806;0.9865466666666667;0.010109674762796471;0.9903666666666666;0.006980960501521948;15
poly;0.1;1;3;10;0.9888466666666667;0.008218347649937808;0.9885066666666666;0.009333462584139056;0.9886733333333333;0.008614478399487577;0.9918999999999999;0.005948949487094345;15
poly;0.1;1;3;100;0.9889;0.008178194002520194;0.98858;0.00920847435789447;0.9887333333333334;0.008554002126545923;0.9919600000000001;0.005899975786875248;15
poly;0.1;1;4;1;0.9873466666666667;0.009107835454523028;0.98676;0.011009593219422005;0.9870533333333333;0.009736666096085811;0.9907400000000001;0.006717758980068112;15
poly;0.1;1;4;10;0.9889933333333333;0.008168097056463625;0.9887733333333333;0.008952131962089632;0.98888;0.008449699910140508;0.9920399999999999;0.005843775687491288;15
poly;0.1;1;4;100;0.9886199999999999;0.008348327462945589;0.98818;0.009658245921786957;0.9884066666666667;0.008810097021248384;0.9917066666666667;0.006073063085305069;15
poly;0.1;1;5;1;0.9877;0.008949940143455078;0.9871199999999999;0.010692133289746927;0.9873999999999999;0.009518253141051819;0.991;0.006570931658231033;15
poly;0.1;1;5;10;0.9890066666666667;0.008343557537462807;0.9889066666666667;0.00870734227671162;0.9889399999999999;0.008423758916642515;0.9920866666666667;0.005815971441601469;15
